ReviewID,UserID,ProductID,Rating,Comment,ReviewDate
1,22,49,5,Great boots!,2023-02-01 00:00:00
2,33,83,5,Very comfortable.,2023-02-02 00:00:00
3,94,47,5,Love them!,2023-02-03 00:00:00
4,13,8,4,Best boots ever!,2023-02-04 00:00:00
5,27,72,4,Not bad!,2023-02-05 00:00:00
6,37,65,5,Great boots!,2023-02-06 00:00:00
7,5,95,4,Very comfortable.,2023-02-07 00:00:00
8,95,43,4,Love them!,2023-02-08 00:00:00
9,37,83,4,Best boots ever!,2023-02-09 00:00:00
10,28,79,4,Not bad!,2023-02-10 00:00:00
11,96,5,3,Great boots!,2023-02-11 00:00:00
12,38,92,4,Very comfortable.,2023-02-12 00:00:00
13,5,34,4,Love them!,2023-02-13 00:00:00
14,31,10,4,Best boots ever!,2023-02-14 00:00:00
15,52,26,4,Not bad!,2023-02-15 00:00:00
16,33,73,3,Great boots!,2023-02-16 00:00:00
17,7,1,3,Very comfortable.,2023-02-17 00:00:00
18,4,77,5,Love them!,2023-02-18 00:00:00
19,17,48,4,Best boots ever!,2023-02-19 00:00:00
20,62,6,4,Not bad!,2023-02-20 00:00:00
21,16,93,5,Great boots!,2023-02-21 00:00:00
22,35,90,3,Very comfortable.,2023-02-22 00:00:00
23,74,44,5,Love them!,2023-02-23 00:00:00
24,27,28,3,Best boots ever!,2023-02-24 00:00:00
25,28,48,5,Not bad!,2023-02-25 00:00:00
26,41,56,5,Great boots!,2023-02-26 00:00:00
27,60,70,4,Very comfortable.,2023-02-27 00:00:00
28,41,14,5,Love them!,2023-02-28 00:00:00
29,77,90,3,Best boots ever!,2023-03-01 00:00:00
30,96,25,3,Not bad!,2023-03-02 00:00:00
31,88,33,5,Great boots!,2023-03-03 00:00:00
32,93,16,3,Very comfortable.,2023-03-04 00:00:00
33,69,34,5,Love them!,2023-03-05 00:00:00
34,13,79,4,Best boots ever!,2023-03-06 00:00:00
35,69,95,4,Not bad!,2023-03-07 00:00:00
36,88,54,4,Great boots!,2023-03-08 00:00:00
37,88,42,4,Very comfortable.,2023-03-09 00:00:00
38,78,70,5,Love them!,2023-03-10 00:00:00
39,77,38,3,Best boots ever!,2023-03-11 00:00:00
40,18,71,5,Not bad!,2023-03-12 00:00:00
41,62,4,3,Great boots!,2023-03-13 00:00:00
42,8,83,5,Very comfortable.,2023-03-14 00:00:00
43,16,3,3,Love them!,2023-03-15 00:00:00
44,59,44,3,Best boots ever!,2023-03-16 00:00:00
45,18,10,5,Not bad!,2023-03-17 00:00:00
46,94,25,4,Great boots!,2023-03-18 00:00:00
47,42,53,5,Very comfortable.,2023-03-19 00:00:00
48,22,38,4,Love them!,2023-03-20 00:00:00
49,45,35,5,Best boots ever!,2023-03-21 00:00:00
50,13,84,3,Not bad!,2023-03-22 00:00:00
51,82,3,4,Great boots!,2023-03-23 00:00:00
52,95,80,3,Very comfortable.,2023-03-24 00:00:00
53,85,22,3,Love them!,2023-03-25 00:00:00
54,13,64,3,Best boots ever!,2023-03-26 00:00:00
55,91,8,5,Not bad!,2023-03-27 00:00:00
56,41,8,3,Great boots!,2023-03-28 00:00:00
57,79,16,5,Very comfortable.,2023-03-29 00:00:00
58,41,72,4,Love them!,2023-03-30 00:00:00
59,8,4,3,Best boots ever!,2023-03-31 00:00:00
60,33,34,4,Not bad!,2023-04-01 00:00:00
61,35,9,4,Great boots!,2023-04-02 00:00:00
62,69,90,5,Very comfortable.,2023-04-03 00:00:00
63,5,66,4,Love them!,2023-04-04 00:00:00
64,67,92,5,Best boots ever!,2023-04-05 00:00:00
65,81,97,5,Not bad!,2023-04-06 00:00:00
66,60,13,4,Great boots!,2023-04-07 00:00:00
67,81,38,4,Very comfortable.,2023-04-08 00:00:00
68,60,93,4,Love them!,2023-04-09 00:00:00
69,79,7,5,Best boots ever!,2023-04-10 00:00:00
70,18,38,5,Not bad!,2023-04-11 00:00:00
71,100,70,4,Great boots!,2023-04-12 00:00:00
72,23,97,5,Very comfortable.,2023-04-13 00:00:00
73,61,63,4,Love them!,2023-04-14 00:00:00
74,43,36,5,Best boots ever!,2023-04-15 00:00:00
75,35,72,5,Not bad!,2023-04-16 00:00:00
76,96,27,3,Great boots!,2023-04-17 00:00:00
77,11,25,3,Very comfortable.,2023-04-18 00:00:00
78,61,42,4,Love them!,2023-04-19 00:00:00
79,39,66,3,Best boots ever!,2023-04-20 00:00:00
80,7,91,5,Not bad!,2023-04-21 00:00:00
81,22,55,4,Great boots!,2023-04-22 00:00:00
82,67,79,3,Very comfortable.,2023-04-23 00:00:00
83,35,38,4,Love them!,2023-04-24 00:00:00
84,60,21,4,Best boots ever!,2023-04-25 00:00:00
85,95,34,5,Not bad!,2023-04-26 00:00:00
86,30,29,3,Great boots!,2023-04-27 00:00:00
87,38,83,5,Very comfortable.,2023-04-28 00:00:00
88,73,75,4,Love them!,2023-04-29 00:00:00
89,16,77,4,Best boots ever!,2023-04-30 00:00:00
90,4,46,4,Not bad!,2023-05-01 00:00:00
91,95,4,3,Great boots!,2023-05-02 00:00:00
92,95,29,5,Very comfortable.,2023-05-03 00:00:00
93,59,6,5,Love them!,2023-05-04 00:00:00
94,58,82,3,Best boots ever!,2023-05-05 00:00:00
95,42,83,5,Not bad!,2023-05-06 00:00:00
96,42,53,5,Great boots!,2023-05-07 00:00:00
97,18,43,4,Very comfortable.,2023-05-08 00:00:00
98,73,50,4,Love them!,2023-05-09 00:00:00
99,39,77,4,Best boots ever!,2023-05-10 00:00:00
100,81,54,3,Not bad!,2023-05-11 00:00:00
